EDI_Prices_P04_20240417
MIC	Pricefilesymbol	Isin	Currency	PriceDate	Open	High	Low	Close	Mid	Ask	Last	Bid	BidSize	AskSize	TradedVolume	SecID	MktCloseDate	Volflag	Issuername	SectyCD	SecurityDesc	sedol	USCode	PrimaryExchgCD	ExchgCD	TradedValue	TotalTrades	Comment
XCHG	PBLPBOND		BDT	2024/04/17	5000	5000	5000	5000	0	0	5000	0	0	0	0		2024/04/17	A							BDCSE	0	0	
XCHG	PREBPBOND		BDT	2024/04/17	5000	5000	5000	5000	0	0	5000	0	0	0	0		2024/04/17	A							BDCSE	0	0	
XCHG	PRIME1ICBA		BDT	2024/04/17	6.1	6.2	6.2	6.2	0	0	6.2	0	0	0	300		2024/04/17	A	PRIME BANK 1ST ICB AMCL MF						BDCSE	1860	2	
XCHG	PF1STMF		BDT	2024/04/17	6.8	6.8	6.8	6.8	0	0	6.8	0	0	0	0		2024/04/17	A	PHOENIX FIN. 1ST MUTUAL FUND						BDCSE	0	0	
XCHG	PHPMF1		BDT	2024/04/17	4.1	4.1	4.1	4.1	0	0	4.1	0	0	0	3082		2024/04/17	A	Php First Mutual Fund 						BDCSE	12636.2	11	
XCHG	POPULAR1MF		BDT	2024/04/17	4.3	4.2	4.2	4.2	0	0	4.2	0	0	0	340		2024/04/17	A	POPULAR LIFE FIRST MUTUAL FUND						BDCSE	1428	1	
XCHG	LRGLOBMF1		BDT	2024/04/17	4.9	4.9	4.9	4.9	0	0	4.9	0	0	0	0		2024/04/17	A							BDCSE	0	0	
XCHG	MBL1STMF		BDT	2024/04/17	5.4	5.4	5.4	5.4	0	0	5.4	0	0	0	0		2024/04/17	A	Mbl 1st Mutual Fund 						BDCSE	0	0	
XCHG	MBPLCPBOND		BDT	2024/04/17	5000	5000	5000	5000	0	0	5000	0	0	0	0		2024/04/17	A							BDCSE	0	0	
XCHG	MTBPBOND		BDT	2024/04/17	1000000	1000000	1000000	1000000	0	0	1000000	0	0	0	0		2024/04/17	A							BDCSE	0	0	
XCHG	SJIBLPBOND		BDT	2024/04/17	4740	4740	4740	4740	0	0	4740	0	0	0	0		2024/04/17	A							BDCSE	0	0	
