EDI_Prices_P04_20240422
MIC	Pricefilesymbol	Isin	Currency	PriceDate	Open	High	Low	Close	Mid	Ask	Last	Bid	BidSize	AskSize	TradedVolume	SecID	MktCloseDate	Volflag	Issuername	SectyCD	SecurityDesc	sedol	USCode	PrimaryExchgCD	ExchgCD	TradedValue	TotalTrades	Comment
XSWX	CIC21	CH1155135838	CHF	2024/03/15	0	0	0	107	0	0	0	0	0	0	0	7246591	2024/04/22	A	Cicor Technologies	BND	ZC BD CONVERT 21/01/2027 CHF 1000			CHSSX	CHSSX	0	0	
XSWX	AGK191	CH0419041436	CHF	2024/04/09	0	0	0	92.75	0	0	0	0	0	0	0	6077635	2024/04/22	A	Aargauische Kantonalbank	BND	ZC BD REDEEM 17/09/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	AMG213	CH1141700521	CHF	2024/04/18	0	0	0	98.71	0	0	0	0	0	0	0	7173628	2024/04/22	A	Amag Leasing Ag	BND	ZC BD REDEEM 18/02/2025 CHF 5000 - REG S			CHSSX	CHSSX	0	0	
XSWX	APB16	CH0330939197	CHF	2024/04/22	0	0	0	107.9	0	0	0	0	0	0	0	4831991	2024/04/22	A	Appenzeller Bahnen	BND	ZC BD REDEEM 15/07/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BAL192	CH0496692978	CHF	2024/03/19	0	0	0	96.65	0	0	0	0	0	0	0	6090147	2024/04/22	A	Baloise Holding AG	BND	ZC BD REDEEM 25/09/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BAL193	CH0496692986	CHF	2024/04/22	92.6	92.6	92.6	92.6	0	0	0	0	0	0	40000	6090145	2024/04/22	A	Baloise Holding AG	BND	ZC BD REDEEM 25/09/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BSK191	CH0419041410	CHF	2024/04/18	0	0	0	86.6	0	0	0	0	0	0	0	6051092	2024/04/22	A	Basler Kantonalbank.	BND	ZC BD REDEEM 23/08/2034 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BKW22	CH1160680141	CHF	2024/04/04	0	0	0	99.28	0	0	0	0	0	0	0	7292258	2024/04/22	A	BKW AG	BND	ZC BD REDEEM 18/10/2024 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	CMB19	CH0486598227	CHF	2024/03/26	0	0	0	95.7	0	0	0	0	0	0	0	6007655	2024/04/22	A	Cembra Money Bank AG	BND	ZC BD REDCONV 09/07/2026 CHF 200000			CHSSX	CHSSX	0	0	
XSWX	CRS19	CH0483181001	CHF	2024/04/10	0	0	0	92.65	0	0	0	0	0	0	0	6002790	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 16/07/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	CRS202	CH0550413352	CHF	2024/04/16	0	0	0	99.08	0	0	0	0	0	0	0	6437464	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 17/12/2024 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	CRS20	CH0520663581	CHF	2024/04/18	0	0	0	98.3	0	0	0	0	0	0	0	6264562	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 31/07/2025 CHF 5000			CHSSX	CHSSX	0	0	
