EDI_Prices_IX_20240418
MIC	Pricefilesymbol	Isin	Currency	PriceDate	Open	High	Low	Close	Mid	Ask	Last	Bid	BidSize	AskSize	TradedVolume	SecID	MktCloseDate	Volflag	Indexname	SectyCD	SecurityDesc	sedol	USCode	PrimaryExchgCD	ExchgCD	TradedValue	TotalTrades	Comment
XPAR	AEX7S	FR0013362985	EUR	2024/04/18	139.899	147.353	139.899	143.943	0	0	0	0	0	0	0		2024/04/18	A	AEX X7 Short GR						FRPEN	0	0	
XPAR	ALASG	QS0011227186	EUR	2024/04/18	0	1096.16	1096.16	1096.16	0	0	0	0	0	0	0		2024/04/18	A	Alternext All S Gross Return Index						FRPEN	0	0	
XPAR	ALASI	QS0011040902	EUR	2024/04/18	0	914.11	914.11	914.11	0	0	0	0	0	0	0		2024/04/18	A	Alternext All Share						FRPEN	0	0	
XPAR	ALASN	QS0011227178	EUR	2024/04/18	0	1055.37	1055.37	1055.37	0	0	0	0	0	0	0		2024/04/18	A	Alternext All S Net Return Index						FRPEN	0	0	
XPAR	ALE10	FR0013504768	EUR	2024/04/18	28717.718	28717.718	26671.819	27607.695	0	0	0	0	0	0	0		2024/04/18	A	AEX X10 Leverage NR						FRPEN	0	0	
XPAR	ALE15	FR0013504743	EUR	2024/04/18	236.976	236.976	212.12	223.49	0	0	0	0	0	0	0		2024/04/18	A	AEX X15 Leverage NR						FRPEN	0	0	
XPAR	BIOE4	FRESG0000488	EUR	2024/04/18	1607.82	1617.57	1604.27	1614.53	0	0	0	0	0	0	0		2024/04/18	A	Euronext Euro Large Cap Biodiversity Leaders 30 Decrement 4						FRPEN	0	0	
XPAR	BIOEG	FRESG0000314	EUR	2024/04/18	2373.49	2387.88	2368.25	2383.38	0	0	0	0	0	0	0		2024/04/18	A	Euronext Euro Large Cap Biodiversity Leaders 30 GR						FRPEN	0	0	
XPAR	BIOEN	FRESG0000322	EUR	2024/04/18	2240.99	2254.57	2236.04	2250.33	0	0	0	0	0	0	0		2024/04/18	A	Euronext Euro Large Cap Biodiversity Leaders 30 NR						FRPEN	0	0	
XPAR	BIOEP	FRESG0000306	EUR	2024/04/18	1875.81	1887.18	1871.67	1883.63	0	0	0	0	0	0	0		2024/04/18	A	Euronext Euro Large Cap Biodiversity Leaders 30						FRPEN	0	0	
XPAR	BIOEZ	FRESG0000330	EUR	2024/04/18	1479.73	1488.7	1476.47	1485.9	0	0	0	0	0	0	0		2024/04/18	A	Euronext Euro Large Cap Biodiversity Leaders 30 Decrement 5						FRPEN	0	0	
XPAR	BIOTK	QS0011095955	EUR	2024/04/18	0	2049.07	2049.07	2049.07	0	0	0	0	0	0	0		2024/04/18	A	NEXT Biotech						FRPEN	0	0	
XPAR	BISWG	FRESG0001460	EUR	2024/04/18	5182.16	5219.58	5182.16	5193.13	0	0	0	0	0	0	0		2024/04/18	A	EN BIODIV SCR W GR						FRPEN	0	0	
XPAR	BISWN	FRESG0001452	EUR	2024/04/18	4750.59	4784.9	4750.59	4760.65	0	0	0	0	0	0	0		2024/04/18	A	EN BIODIV SCR W NR 4 17535						FRPEN	0	0	
XPAR	BISWP	FRESG0001445	EUR	2024/04/18	3593.12	3619.07	3593.12	3600.73	0	0	0	0	0	0	0		2024/04/18	A	Fino Payments Bank						FRPEN	0	0	
XPAR	C12LE	FR0013186939	EUR	2024/04/18	87.541	90.719	82.877	88.717	0	0	0	0	0	0	0		2024/04/18	A	France CAC40 X12 Leverage TRN						FRPEN	0	0	
XPAR	C4CD	FR0013252392	EUR	2024/04/18	1226.97	1226.97	1226.97	1226.97	0	0	0	0	0	0	0		2024/04/18	A	CAC 40 Cumulat Div						FRPEN	0	0	
XPAR	C4EWD	FR0013236254	EUR	2024/04/18	1779.09	1789.05	1774.36	1786.06	0	0	0	0	0	0	0		2024/04/18	A	CAC 40 EW Decr 5%						FRPEN	0	0	
XPAR	C4SD	FR0013252418	EUR	2024/04/18	9000.983	9020.865	8958.075	9004.935	0	0	0	0	0	0	0		2024/04/18	A	CAC 40 Synthet Div						FRPEN	0	0	
