EDI_Prices_IX_20240417
MIC	Pricefilesymbol	Isin	Currency	PriceDate	Open	High	Low	Close	Mid	Ask	Last	Bid	BidSize	AskSize	TradedVolume	SecID	MktCloseDate	Volflag	Indexname	SectyCD	SecurityDesc	sedol	USCode	PrimaryExchgCD	ExchgCD	TradedValue	TotalTrades	Comment
HSTC	CONST		VND	2024/04/17	312.8	314.39	308.73	311.36	0	0	0	0	0	0	9937400		2024/04/17	A	Construction Index						VNHSTC	230659970000	0	
HSTC	FINAN		VND	2024/04/17	558.44	568.12	549.12	549.35	0	0	0	0	0	0	30964900		2024/04/17	A	Finance Index						VNHSTC	602621870000	0	
HSTC	HNX		VND	2024/04/17	228.83	230.1	225.8	226.2	0	0	0	0	0	0	79632700		2024/04/17	A	HNX Index						VNHSTC	1560475130000	0	
HSTC	HNX 30TRI		VND	2024/04/17	736.55	741.07	719.67	719.74	0	0	0	0	0	0	56978200		2024/04/17	A	HNX 30 TRI Index						VNHSTC	1323180690000	0	
HSTC	HNX30		VND	2024/04/17	496.19	499.23	484.82	484.87	0	0	0	0	0	0	56978200		2024/04/17	A	HNX30 Index						VNHSTC	1323180690000	0	
HSTC	LARGE		VND	2024/04/17	230.72	232.17	227.27	227.63	0	0	0	0	0	0	63015200		2024/04/17	A	LARGE Index						VNHSTC	1365713730000	0	
HSTC	MANUFAC		VND	2024/04/17	241.03	242.5	238.75	240.26	0	0	0	0	0	0	10339700		2024/04/17	A	Manufacturing Index						VNHSTC	169496380000	0	
HSTC	MID/SMALL		VND	2024/04/17	791.53	793.7	786.58	789.29	0	0	0	0	0	0	16617500		2024/04/17	A	MID/SMALL Index						VNHSTC	194761400000	0	
HSTC	UPCOM		VND	2024/04/17	88.63	88.93	88.02	88.15	0	0	0	0	0	0	42741500		2024/04/17	A	UPCOM Index						VNHSTC	436846940000	0	
HSTC	UPCOM Large		VND	2024/04/17	145.05	145.77	144.21	144.7	0	0	0	0	0	0	33493400		2024/04/17	A	UPCOM Large Index						VNHSTC	335818460000	0	
HSTC	UPCOM Medium		VND	2024/04/17	195.14	195.41	193.78	194.31	0	0	0	0	0	0	4225100		2024/04/17	A	UPCOM Medium Index						VNHSTC	59896210000	0	
HSTC	UPCOM Small		VND	2024/04/17	157.11	158.06	156.24	156.32	0	0	0	0	0	0	4041800		2024/04/17	A	UPCOM Small Index						VNHSTC	35654040000	0	
EDI_ENDOFFILE
